ACT_ID,ACTIVE,TCODE,GROUP_NUMBER
ACT0001,1,SE16,1
ACT0001,1,SE16N,1
ACT0001,1,SE16,2
ACT0001,1,SE16N,2
ACT0002,1,FI01,1
ACT0002,1,FI02,1
ACT0002,1,FI13,2
ACT0002,1,FCHI,3
ACT0003,1,F.34,1
ACT0003,1,F.34,2
ACT0004,1,FEBA,1
ACT0004,1,FEBA_BANK_DEPOSIT,1
ACT0004,1,FEBA_BANK_STATEMENT,1
ACT0004,1,FEBAN,1
ACT0004,1,FEBC,1
ACT0004,1,FEBP,1
ACT0004,1,FF.5,1
ACT0004,1,FF67,1
ACT0004,1,FF/4,2
ACT0004,1,FF/5,2
ACT0004,1,FF68,2
ACT0004,1,FFB4,2
ACT0004,1,FFB5,2
ACT0004,1,FEBA,3
ACT0004,1,FEBA,4
ACT0005,1,F-02,1
ACT0005,1,F-41,1
ACT0005,1,F-43,1
ACT0005,1,F-44,1
ACT0005,1,F-47,1
ACT0005,1,FB01,1
ACT0005,1,FB02,1
ACT0005,1,FB60,1
ACT0005,1,FB65,1
ACT0005,1,F-02,2
ACT0005,1,F-43,2
ACT0005,1,F-44,2
ACT0005,1,F-47,2
ACT0005,1,FB01,2
ACT0005,1,FB02,2
ACT0005,1,FB60,2
ACT0005,1,FB65,2
ACT0005,1,F-02,3
ACT0005,1,F-41,3
ACT0005,1,F-42,3
ACT0005,1,F-43,3
ACT0005,1,F-44,3
ACT0005,1,F-47,3
ACT0005,1,F-63,3
ACT0005,1,F-66,3
ACT0005,1,FB01,3
ACT0005,1,FB01L,3
ACT0005,1,FB02,3
ACT0005,1,FB10,3
ACT0005,1,FB60,3
ACT0005,1,FB65,3
ACT0005,1,FBRA,3
ACT0005,1,FBV0,3
ACT0005,1,FV60,3
ACT0005,1,FV65,3
ACT0005,1,MR01,3
ACT0005,1,MR08,3
ACT0005,1,MR41,3
ACT0005,1,MR42,3
ACT0005,1,MR44,3
ACT0005,1,MRHG,3
ACT0005,1,MRHR,3
ACT0005,1,MRRL,3
ACT0005,1,MRRS,3
ACT0005,1,F-47,4
ACT0005,1,F-63,4
ACT0005,1,F-66,4
ACT0005,1,FB01,4
ACT0005,1,FB02,4
ACT0005,1,FB10,4
ACT0005,1,FB60,4
ACT0005,1,FB65,4
ACT0005,1,FBRA,4
ACT0005,1,FBV0,4
ACT0005,1,FV60,4
ACT0005,1,FV65,4
ACT0005,1,MR01,4
ACT0005,1,MR08,4
ACT0005,1,MR41,4
ACT0005,1,MR42,4
ACT0005,1,MR44,4
ACT0005,1,MRHG,4
ACT0005,1,MRRL,4
ACT0005,1,MRRS,4
ACT0005,1,MIR7,5
ACT0005,1,MIRA,5
ACT0005,1,MIRO,5
ACT0005,1,MR8M,5
ACT0005,1,MIR7,6
ACT0005,1,MIRA,6
ACT0005,1,MIRO,6
ACT0006,1,MB01,1
ACT0006,1,MB0A,1
ACT0006,1,MIGO,1
ACT0006,1,MIGO_GR,1
ACT0006,1,MB01,2
ACT0006,1,MB0A,2
ACT0006,1,MIGO,2
ACT0006,1,MIGO_GR,2
ACT0007,1,ME51,1
ACT0007,1,ME51N,1
ACT0007,1,ME52,1
ACT0007,1,ME52N,1
ACT0007,1,ME52NB,1
ACT0007,1,MEMASSRQ,1
ACT0007,1,ME52,2
ACT0007,1,ME52N,2
ACT0007,1,ME52NB,2
ACT0007,1,MEMASSRQ,2
ACT0007,1,ME51,3
ACT0007,1,ME51N,3
ACT0007,1,ME52,3
ACT0007,1,ME52N,3
ACT0007,1,MEMASSRQ,3
ACT0007,1,ME51,4
ACT0007,1,ME51N,4
ACT0007,1,ME52,4
ACT0007,1,ME52N,4
ACT0007,1,ME52NB,4
ACT0007,1,MEMASSRQ,4
ACT0007,1,MEMASSRQ,5
ACT0008,1,ME54,1
ACT0008,1,ME54N,1
ACT0008,1,ME55,1
ACT0008,1,ME54,2
ACT0008,1,ME54N,2
ACT0008,1,ME55,2
ACT0008,1,ME54,3
ACT0008,1,ME54N,3
ACT0008,1,ME55,3
ACT0008,1,ME54,4
ACT0008,1,ME54N,4
ACT0008,1,ME55,4
ACT0008,1,ME54,5
ACT0008,1,ME55,5
ACT0009,1,ME31,1
ACT0009,1,ME31K,1
ACT0009,1,ME31L,1
ACT0009,1,ME32,1
ACT0009,1,ME32K,1
ACT0009,1,ME32L,1
ACT0009,1,ME34,1
ACT0009,1,ME34K,1
ACT0009,1,ME34L,1
ACT0009,1,MEMASSSA,1
ACT0009,1,ME31,2
ACT0009,1,ME31K,2
ACT0009,1,ME31L,2
ACT0009,1,ME32,2
ACT0009,1,ME32K,2
ACT0009,1,ME32L,2
ACT0009,1,ME34,2
ACT0009,1,ME34K,2
ACT0009,1,ME34L,2
ACT0009,1,ME31,3
ACT0009,1,ME31K,3
ACT0009,1,ME31L,3
ACT0009,1,ME32,3
ACT0009,1,ME32K,3
ACT0009,1,ME32L,3
ACT0009,1,ME34,3
ACT0009,1,ME34K,3
ACT0009,1,ME34L,3
ACT0009,1,MEMASSSA,3
ACT0009,1,ME31,4
ACT0009,1,ME31K,4
ACT0009,1,ME31L,4
ACT0009,1,ME32,4
ACT0009,1,ME32K,4
ACT0009,1,ME32L,4
ACT0009,1,MEMASSSA,5
ACT0010,1,ME21,1
ACT0010,1,ME21N,1
ACT0010,1,ME22,1
ACT0010,1,ME22N,1
ACT0010,1,ME23N,1
ACT0010,1,ME25,1
ACT0010,1,ME59,1
ACT0010,1,ME59N,1
ACT0010,1,MEMASSPO,1
ACT0010,1,MEPO,1
ACT0010,1,WPOHF4C,1
ACT0010,1,WPOHF4X,1
ACT0010,1,WPOHF4XS,1
ACT0010,1,ME21,2
ACT0010,1,ME21N,2
ACT0010,1,ME22,2
ACT0010,1,ME22N,2
ACT0010,1,ME23N,2
ACT0010,1,ME25,2
ACT0010,1,ME59,2
ACT0010,1,ME59N,2
ACT0010,1,MEMASSPO,2
ACT0010,1,MEPO,2
ACT0010,1,WPOHF4C,2
ACT0010,1,WPOHF4X,2
ACT0010,1,WPOHF4XS,2
ACT0010,1,ME21,3
ACT0010,1,ME21N,3
ACT0010,1,ME22,3
ACT0010,1,ME22N,3
ACT0010,1,ME23N,3
ACT0010,1,ME25,3
ACT0010,1,ME59,3
ACT0010,1,ME59N,3
ACT0010,1,MEMASSPO,3
ACT0010,1,MEPO,3
ACT0010,1,WPOHF4C,3
ACT0010,1,WPOHF4X,3
ACT0010,1,WPOHF4XS,3
ACT0010,1,ME21,4
ACT0010,1,ME21N,4
ACT0010,1,ME22,4
ACT0010,1,ME22N,4
ACT0010,1,ME23N,4
ACT0010,1,ME25,4
ACT0010,1,ME59,4
ACT0010,1,ME59N,4
ACT0010,1,MEMASSPO,4
ACT0010,1,MEPO,4
ACT0010,1,WPOHF4C,4
ACT0010,1,WPOHF4X,4
ACT0010,1,WPOHF4XS,4
ACT0010,1,ME21,5
ACT0010,1,ME21N,5
ACT0010,1,ME22,5
ACT0010,1,ME22N,5
ACT0010,1,ME23N,5
ACT0010,1,ME25,5
ACT0010,1,ME59,5
ACT0010,1,ME59N,5
ACT0010,1,MEMASSPO,5
ACT0010,1,MEPO,5
ACT0010,1,WPOHF4C,5
ACT0010,1,WPOHF4X,5
ACT0010,1,WPOHF4XS,5
ACT0010,1,ME21,6
ACT0010,1,ME21N,6
ACT0010,1,ME22,6
ACT0010,1,ME22N,6
ACT0010,1,ME23N,6
ACT0010,1,ME25,6
ACT0010,1,ME59,6
ACT0010,1,ME59N,6
ACT0010,1,MEMASSPO,6
ACT0010,1,MEPO,6
ACT0010,1,WPOHF4C,6
ACT0010,1,WPOHF4X,6
ACT0010,1,WPOHF4XS,6
ACT0010,1,MEMASSPO,7
ACT0011,1,FK01,1
ACT0011,1,FK02,1
ACT0011,1,FK05,1
ACT0011,1,FK06,1
ACT0011,1,M-01,1
ACT0011,1,M-02,1
ACT0011,1,M-03,1
ACT0011,1,M-04,1
ACT0011,1,M-05,1
ACT0011,1,M-06,1
ACT0011,1,M-07,1
ACT0011,1,M-51,1
ACT0011,1,M-52,1
ACT0011,1,M-53,1
ACT0011,1,M-54,1
ACT0011,1,M-55,1
ACT0011,1,M-56,1
ACT0011,1,M-57,1
ACT0011,1,MK01,1
ACT0011,1,MK02,1
ACT0011,1,MK05,1
ACT0011,1,MK06,1
ACT0011,1,MK12,1
ACT0011,1,OT41,1
ACT0011,1,V-11,1
ACT0011,1,XK01,1
ACT0011,1,XK02,1
ACT0011,1,XK05,1
ACT0011,1,XK06,1
ACT0011,1,XK07,1
ACT0011,1,XK99,1
ACT0011,1,FK01,2
ACT0011,1,FK02,2
ACT0011,1,FK05,2
ACT0011,1,FK06,2
ACT0011,1,M-51,2
ACT0011,1,M-52,2
ACT0011,1,M-53,2
ACT0011,1,M-54,2
ACT0011,1,M-55,2
ACT0011,1,M-56,2
ACT0011,1,M-57,2
ACT0011,1,M-62,2
ACT0011,1,OCCK,2
ACT0011,1,OT41,2
ACT0011,1,V-11,2
ACT0011,1,XK01,2
ACT0011,1,XK02,2
ACT0011,1,XK05,2
ACT0011,1,XK06,2
ACT0011,1,XK07,2
ACT0011,1,FK01,3
ACT0011,1,FK02,3
ACT0011,1,FK05,3
ACT0011,1,FK06,3
ACT0011,1,M-01,3
ACT0011,1,M-02,3
ACT0011,1,M-03,3
ACT0011,1,M-04,3
ACT0011,1,M-05,3
ACT0011,1,M-06,3
ACT0011,1,M-07,3
ACT0011,1,M-12,3
ACT0011,1,M-51,3
ACT0011,1,M-52,3
ACT0011,1,M-53,3
ACT0011,1,M-54,3
ACT0011,1,M-55,3
ACT0011,1,M-56,3
ACT0011,1,M-57,3
ACT0011,1,M-62,3
ACT0011,1,MK01,3
ACT0011,1,MK02,3
ACT0011,1,MK05,3
ACT0011,1,MK06,3
ACT0011,1,MK12,3
ACT0011,1,OCCK,3
ACT0011,1,OT41,3
ACT0011,1,V-11,3
ACT0011,1,XK01,3
ACT0011,1,XK02,3
ACT0011,1,XK05,3
ACT0011,1,XK06,3
ACT0011,1,XK07,3
